Epoch,FID,IS
0,482.1602783203125,1.0046958923339844
5,271.3629150390625,3.117135763168335
10,224.7279052734375,2.558495044708252
15,166.86233520507812,3.071031332015991
20,123.26984405517578,3.791126251220703
25,90.53140258789062,4.496528625488281
30,86.91328430175781,4.361347198486328
35,67.00594329833984,4.7766618728637695
40,59.75795364379883,5.545567989349365
45,56.39670181274414,5.707808494567871
50,50.207176208496094,5.7134108543396
55,53.91025924682617,6.224688529968262
60,43.81180953979492,6.431604862213135
65,41.86006164550781,6.546632289886475
70,41.350494384765625,6.656566143035889
75,37.67704772949219,6.717460632324219
80,37.60810852050781,6.765208721160889
85,37.752159118652344,7.005011081695557
90,35.1369743347168,6.907162666320801
95,35.12329864501953,6.9440813064575195
