Stage,FID,IS
Stage1,225.81298828125,2.42167592048645
Stage2,116.65550994873047,3.6346421241760254
Stage3,56.64162826538086,5.565793514251709
Stage4,39.8587646484375,6.526658535003662
Stage5,37.09916687011719,7.033117771148682
